Time	InhDendSyn0	InhDendSyn1	InhSomaSyn0	ExcSyn0	ExcSyn1	ExcSyn2
1098.29	0.000000	0.000000	0.000000	-0.105439	-0.106870	-0.112391
1099.19	0.000000	0.000000	0.000000	-0.105346	-0.106787	-0.112315
1100.1	0.000000	0.000000	0.000000	-0.105252	-0.106705	-0.112240
1101	0.000000	0.000000	0.000000	-0.105158	-0.106622	-0.112164
1101.9	0.000000	0.000000	0.000000	-0.105063	-0.106540	-0.112088
1102.8	0.000000	0.000000	0.000000	-0.104968	-0.106458	-0.112013
1103.71	0.000000	0.000000	0.000000	-0.104872	-0.106375	-0.111937
1104.61	0.000000	0.000000	0.000000	-0.104775	-0.106293	-0.111862
1105.51	0.000000	0.000000	0.000000	-0.104678	-0.106210	-0.111786
1106.42	0.000000	0.000000	0.000000	-0.104579	-0.106128	-0.111711
1107.32	0.000000	0.000000	0.000000	-0.104519	-0.106077	-0.111665
1108.22	0.000000	0.000000	0.000000	-0.104458	-0.106027	-0.111619
1109.13	0.000000	0.000000	0.000000	-0.104396	-0.105976	-0.111573
1110.03	0.000000	0.000000	0.000000	-0.104334	-0.105926	-0.111527
1110.93	0.000000	0.000000	0.000000	-0.104272	-0.105876	-0.111481
1111.84	0.000000	0.000000	0.000000	-0.104209	-0.105825	-0.111435
1112.74	0.000000	0.000000	0.000000	-0.104145	-0.105775	-0.111389
1113.64	0.000000	0.000000	0.000000	-0.104081	-0.105724	-0.111344
1114.55	0.000000	0.000000	0.000000	-0.104016	-0.105674	-0.111298
1115.45	0.000000	0.000000	0.000000	-0.103950	-0.105623	-0.111252
1116.35	0.000000	0.000000	0.000000	-0.103884	-0.105573	-0.111206
1117.26	0.000000	0.000000	0.000000	-0.103817	-0.105522	-0.111160
1118.16	0.000000	0.000000	0.000000	-0.103749	-0.105471	-0.111115
1119.06	0.000000	0.000000	0.000000	-0.103679	-0.105421	-0.111069
1119.97	0.000000	0.000000	0.000000	-0.103610	-0.105370	-0.111023
1120.87	0.000000	0.000000	0.000000	-0.103539	-0.105319	-0.110977
1121.77	0.000000	0.000000	0.000000	-0.103467	-0.105269	-0.110932
1122.67	0.000000	0.000000	0.000000	-0.103394	-0.105218	-0.110886
1123.58	0.000000	0.000000	0.000000	-0.103320	-0.105167	-0.110840
1124.48	0.000000	0.000000	0.000000	-0.103244	-0.105116	-0.110795
1125.38	0.000000	0.000000	0.000000	-0.103168	-0.105065	-0.110749
1126.29	0.000000	0.000000	0.000000	-0.103042	-0.104982	-0.110675
